pers_id,first_name,last_name,birthdate,nationality
20549e57-2099-4918-bebc-9928a552a9eb,Kathleen,Fletcher,1957-05-25,Angola
375f53da-6e6a-43f3-b1db-119e4f35b036,Michelle,White,1940-11-17,Philippines
abd2048a-751e-4c87-808d-da50766cc51e,Patrick,King,1959-07-02,Wallis and Futuna
9ee7e4b9-7e43-4a01-b96c-c858b63c54f6,Krista,Williams,1968-11-17,Cote d'Ivoire
ff5180c7-6193-40c2-ae81-2a4585d1f15f,Jacob,Gibson,1940-04-24,Central African Republic
eabfd49d-92ce-4208-80f1-29e6de7d24b5,Isabella,Larson,1979-08-16,Niger
72bf0ebe-ed29-4f96-b05b-4e7d5826de72,Nicholas,Reeves,1955-08-24,Guinea
67b026da-491a-4d95-ba14-19733c5a8c0e,Scott,Robbins,2000-02-21,Estonia
746e966e-585b-4dd3-9743-201d5ae27305,Heather,Rogers,1990-04-14,Seychelles
fbbb80d9-c0d8-4eec-aa00-b6849de82204,Michelle,Burke,1973-07-11,Oman
41b43f6e-a7c5-4633-8cb8-579d6099b4d9,Patricia,Moore,1955-09-28,Gambia
1b6034fd-1eb5-4476-a83a-27c4af55b90b,Angela,Alvarez,1973-10-11,Palau
d1c57613-04d6-44be-bf48-9d15ca234468,Marcia,Lee,2000-05-21,Austria
36f0b660-d08a-4833-b828-29a42365c429,Christina,Guerrero,1968-01-03,Poland
072d1148-a59d-4e92-a9e9-4f62bf3cf8f3,Monica,White,1972-01-08,United States Minor Outlying Islands
8b56ad49-60b6-4f6a-94f4-da3df743d436,Carlos,Cunningham,1952-01-22,Togo
b7d9a415-efc6-4f11-8eac-ab3928a2b7e6,Brian,Henderson,2002-09-03,Nepal
86c4bcfb-4aad-4d25-89a6-58d184d82bed,Sara,White,1984-08-03,Korea
3872b2e8-97cb-46a9-8825-7671b87433f8,Michael,Alexander,2004-07-20,Slovakia (Slovak Republic)
c8c1a9e7-815a-49d4-acc4-1961342a62e4,Chad,Garner,2005-01-27,Togo
40639292-bc6e-4629-829a-d09905bbea1c,Susan,Fernandez,1991-06-13,Morocco
d7f6d094-f73a-4eb6-99e9-378f866aca9d,Teresa,Moreno,1937-03-25,Haiti
